City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,bam,29.106,58.357,29.4,15,8,1.75,IR,1697045285
268,tsiombe,-25.3,45.4833,20.92,77,96,6.46,MG,1697045285
269,kigali,-1.95,30.0588,20.71,73,40,3.6,RW,1697045186
270,shirgaon,19.7,72.7,26.69,78,0,2.26,IN,1697045285
271,thompson,55.7435,-97.8558,8.09,61,20,1.54,CA,1697045286
272,mponela,-13.5319,33.7401,23.99,38,3,1.79,MW,1697045286
273,niafunke,15.9322,-3.9906,38.96,12,72,3.58,ML,1697045286
274,anadyr,64.75,177.4833,0.28,80,75,10.0,RU,1697045286
275,margate,51.3813,1.3862,17.72,83,100,1.79,GB,1697045286
276,hamilton,39.1834,-84.5333,20.97,43,0,5.14,US,1697045120
277,yarmouth,41.7057,-70.2286,21.03,71,20,5.14,US,1697045287
278,selizharovo,56.8519,33.4487,6.08,80,100,8.02,RU,1697045287
279,yinchuan,38.4681,106.2731,16.31,56,100,1.51,CN,1697045287
280,aksakovo,43.25,27.8167,12.89,67,0,1.03,BG,1697045287
281,arraial do cabo,-22.9661,-42.0278,27.98,73,0,10.29,BR,1697045288
282,midvagur,62.0511,-7.1939,6.46,61,100,17.49,FO,1697045288
283,fengxiang,47.5833,130.8333,8.8,65,1,2.97,CN,1697045288
284,malanje,-9.5402,16.341,22.93,66,99,2.62,AO,1697045288
285,las lomitas,-24.7096,-60.593,41.73,22,75,4.61,AR,1697045288
286,hammerfest,70.6634,23.6821,-0.75,74,75,3.6,NO,1697045289
287,laela,-8.5667,32.05,24.05,34,80,1.36,TZ,1697045289
288,yarega,63.4354,53.5765,-1.18,88,52,1.96,RU,1697045289
289,ulladulla,-35.35,150.4667,14.75,41,6,3.49,AU,1697045289
290,bor,56.3567,44.0669,5.0,67,100,4.92,RU,1697045225
291,nadi,-17.8,177.4167,22.0,83,75,2.06,FJ,1697045290
292,bol,13.4586,14.7147,29.23,59,40,5.09,TD,1697045290
293,rio grande,-32.035,-52.0986,22.06,82,100,8.39,BR,1697045277
294,san patricio,28.017,-97.5169,24.39,89,100,3.73,US,1697045290
295,cockburn town,21.4612,-71.1419,31.98,66,40,4.12,TC,1697045290
296,hastings,50.8552,0.5729,17.94,38,100,8.26,GB,1697045290
297,bulata,9.8599,122.4016,26.83,80,99,1.77,PH,1697045291
298,bardai,11.65,7.2333,29.24,40,40,2.93,NG,1697045291
299,nabire,-3.3667,135.4833,24.99,92,100,1.3,ID,1697045291
300,jayapura,-2.5333,140.7,25.66,93,100,2.13,ID,1697045291
301,la punta,-33.1837,-66.3127,15.96,28,12,8.11,AR,1697045019
302,oranjemund,-28.55,16.4333,15.7,78,61,3.56,NA,1697045292
303,nadym,65.5333,72.5167,2.9,76,100,2.75,RU,1697045292
304,novodvinsk,64.4165,40.8122,-0.12,91,100,5.03,RU,1697045292
305,awjilah,29.1081,21.2869,25.82,34,0,4.3,LY,1697045293
306,kulhudhuffushi,6.6221,73.07,25.86,87,100,6.66,MV,1697045293
307,al khums,32.6486,14.2619,24.28,58,0,3.81,LY,1697045293
308,stephenville,32.2207,-98.2023,23.44,73,100,4.63,US,1697045293
309,urucara,-2.5364,-57.76,41.68,18,32,2.5,BR,1697045293
